SITE,HUNIT,VUNIT,ID,DEBITAGECLASS,MATERIAL,TERMINATIONTYPE,CORTEX,MAXLENGTH,MAXWIDTH,MAXTHICK,PLATWIDTH,PLATTHICK,PLATANGLE,DOTSCORTEX,DOTSNONCORTEX,NUMBER_OF_FLAKESCARS,CORESURFACES,SURFACEINTERACTIONS,WEIGHT,COMMENT
SPRING CAVE,I9,ALL BLACK,20023,COMPFLAKE,HORNFELS,FEATHER,0,11,8,3,8,3,,,,,,,0.1,
SPRING CAVE,I9,ALL BLACK,20052,COMPFLAKE,QUARTZ,FEATHER,0,13,12,2,4,2,,,,,,,0.1,
SPRING CAVE,I9,ALL BLACK,20057,COMPFLAKE,QUARTZ,STEP,60,18,11,5,6,3,,,,,,,0.1,
SPRING CAVE,I9,ALL BLACK,20115,COMPFLAKE,SILCRETE,FEATHER,10,17,14,5,12,6,,,,,,,1.3,
SPRING CAVE,I9,ALL BLACK,20021,COMPFLAKE,QUARTZ,FEATHER,0,11,6,4,4,2,90,,,,,,0.1,
SPRING CAVE,I9,ALL BLACK,20066,COMPFLAKE,QUARTZ,HINGE,0,13,11,5,7,3,90,,,,,,0.7,
SPRING CAVE,I9,ALL BLACK,20073,COMPFLAKE,QUARTZITE,FEATHER,80,16,10,3,6,3,90,,,,,,0.5,
SPRING CAVE,I9,ALL BLACK,20079,COMPFLAKE,QUARTZ,FEATHER,0,39,20,8,17,6,90,,,,,,5.4,
SPRING CAVE,I9,ALL BLACK,20102,COMPFLAKE,QUARTZ,STEP,0,17,10,4,9,3,90,,,,,,0.6,
SPRING CAVE,I9,ALL BLACK,20031,COMPFLAKE,QUARTZ,FEATHER,0,10,5,1,5,1,80,,,,,,0.1,
SPRING CAVE,I9,ALL BLACK,20067,COMPFLAKE,QUARTZ,FEATHER,0,14,11,3,11,3,80,,,,,,0.3,
SPRING CAVE,I9,ALL BLACK,20068,COMPFLAKE,QUARTZ,NA,10,15,14,5,13,4,80,,,,,,0.7,
SPRING CAVE,I9,ALL BLACK,20078,COMPFLAKE,QUARTZ,PLUNGE,100,27,21,6,11,4,80,,,,,,3,
SPRING CAVE,I9,ALL BLACK,20090,COMPFLAKE,QUARTZ,FEATHER,0,13,8,3,5,1,80,,,,,,0.1,
SPRING CAVE,I9,ALL BLACK,20104,COMPFLAKE,QUARTZ,FEATHER,0,12,9,4,9,3,80,,,,,,0.4,
SPRING CAVE,I9,ALL BLACK,20769,COMPFLAKE,SILCRETE,PLUNGE,0,33,29,7,10,5,80,,,,,,6.6,
SPRING CAVE,I9,ALL BLACK,20019,COMPFLAKE,QUARTZ,FEATHER,0,10,6,3,8,3,70,,,,,,0.1,
SPRING CAVE,I9,ALL BLACK,20027,COMPFLAKE,QUARTZ,STEP,10,10,8,3,7,4,70,,,,,,0,
SPRING CAVE,I9,ALL BLACK,20038,COMPFLAKE,QUARTZ,NA,10,17,12,4,6,2,70,,,,,,0.1,
SPRING CAVE,I9,ALL BLACK,20047,COMPFLAKE,QUARTZ,FEATHER,0,20,14,2,3,1,70,,,,,,0.1,
