ARTID,Y,S
20006,16.24,0.81
20007,16.24,1.92
20009,16.24,0.43
20009,16.24,0.66
20036,16.24,1.59
20036,16.24,0.4
20036,16.24,2.66
20042,16.24,2.77
20042,16.24,2.78
20042,16.24,1.33
20078,16.24,1.29
20078,16.24,1.27
20078,16.24,0.67
20078,16.24,0.57
20078,16.24,1.01
20078,16.24,1.3
20078,16.24,1.8
20078,16.24,1.97
20078,16.24,1.88
20078,16.24,2.14
20078,16.24,2.44
20077,16.24,0.13
20077,16.24,0.27
20077,16.24,0.06
20146,16.24,1.17
20146,16.24,0.83
20155,16.24,0.36
20155,16.24,1.26
20156,16.24,1.66
20163,16.24,2.63
20215,16.24,2.08
20215,16.24,2.02
20215,16.24,1.87
20215,16.24,1.55
20215,16.24,1.15
20215,16.24,0.92
20215,16.24,0.96
20215,16.24,1.22
20215,16.24,1.7
20215,16.24,2.1
20215,16.24,1.8
20215,16.24,2.48
20215,16.24,2.7
20215,16.24,2.9
20215,16.24,2.54
20215,16.24,1.88
20215,16.24,1.51
20215,16.24,2.07
20215,16.24,1.9
20215,16.24,1.1
20215,16.24,1.41
20215,16.24,1.3
20215,16.24,0.9
20215,16.24,0.56
20215,16.24,0.44
20215,16.24,0.28
20215,16.24,0.29
20215,16.24,1.11
20215,16.24,0.62
20215,16.24,1.17
20215,16.24,1.2
20215,16.24,1.62
20215,16.24,2.3
20215,16.24,2
20215,16.24,2.5
20215,16.24,1.72
20221,16.24,1.38
20221,16.24,1.16
20221,16.24,0.26
20222,16.24,0.72
20222,16.24,0.59
20222,16.24,3.03
20222,16.24,3.42
20222,16.24,1.11
20222,16.24,0.19
20238,16.24,1.42
20238,16.24,1.23
20238,16.24,0.35
20238,16.24,1.08
20238,16.24,1.21
20238,16.24,0.5
20238,16.24,1.05
20238,16.24,0.96
20238,16.24,0.68
20239,16.24,0.74
20239,16.24,1.31
20239,16.24,0.95
20239,16.24,2.45
20239,16.24,1.05
20240,16.24,0.51
20240,16.24,0.83
20240,16.24,1.76
20240,16.24,1.99
20240,16.24,2.08
20240,16.24,1.19
20240,16.24,0.55
20240,16.24,0.51
20240,16.24,0.31
20240,16.24,0.73
20240,16.24,2.33
20240,16.24,2.13
20240,16.24,1.99
20240,16.24,1.08
20240,16.24,0.98
20240,16.24,0.46
20240,16.24,0.08
20240,16.24,0.21
20240,16.24,0.41
20240,16.24,0.68
20241,16.42,1.21
20241,16.42,1.57
20241,16.42,2.38
20241,16.42,1.82
20241,16.42,1.3
20241,16.42,1.31
20267,16.42,2.27
20267,16.42,2.48
20267,16.42,1.18
20267,16.42,0.8
20267,16.42,2.28
20267,16.42,3.94
20267,16.42,4.5
20267,16.42,5.88
20267,16.42,0.96
20267,16.42,1.46
20267,16.42,0.46
20268,16.42,0.55
20268,16.42,0.86
20292,16.42,2.07
20292,16.42,1.06
20293,16.42,1.07
20293,16.42,1.3
20293,16.42,1.53
20293,16.42,1.6
20293,16.42,1.28
20293,16.42,0.66
20293,16.42,0.61
20293,16.42,0.88
20293,16.42,0.54
20293,16.42,0.41
20293,16.42,0.92
20293,16.42,0.82
20293,16.42,0.81
20293,16.42,0.46
20293,16.42,0.59
20294,16.42,0.6
20294,16.42,0.12
20294,16.42,0.42
20294,16.42,0.76
20294,16.42,0.53
20294,16.42,0.26
20296,16.42,1.14
20296,16.42,1.75
20296,16.42,1.69
20296,16.42,1.88
20296,16.42,1.72
20296,16.42,1.3
20298,16.42,0.39
20298,16.42,0.22
20298,16.42,0.16
20298,16.42,0.03
20298,16.42,0.05
20298,16.42,0.86
20298,16.42,0.65
20298,16.42,0.88
20298,16.42,0.74
20298,16.42,0.79
20298,16.42,0.91
20298,16.42,2.2
20298,16.42,3.32
20298,16.42,3.22
20299,16.42,2.73
20299,16.42,2.8
20299,16.42,1.86
20299,16.42,1.59
20299,16.42,1.59
20299,16.42,1.09
20299,16.42,0.99
20299,16.42,0.47
20299,16.42,1.23
20299,16.42,1.16
20299,16.42,1.95
20299,16.42,0.38
20325,16.42,1.9
20524,16.42,1.26
20524,16.42,0.68
20524,16.42,0.9
20526,16.42,0.43
20526,16.42,0.25
20526,16.42,0.7
20526,16.42,1.66
20537,16.42,0.23
20537,16.42,0.13
20537,16.42,0.17
20537,16.42,0.23
20537,16.42,0.26
20537,16.42,0.27
20537,16.42,0.36
20537,16.42,0.3
20537,16.42,0.56
20537,16.42,0.65
20537,16.42,0.45
20537,16.42,0.19
20537,16.42,0.16
20537,16.42,0.11
20542,16.42,0.7
20542,16.42,1.78
20556,16.42,0.98
20559,16.42,0.83
20560,16.42,0.08
20560,16.42,0.12
20563,16.42,0.92
20563,16.42,0.64
20563,16.42,0.92
20563,16.42,0.99
20563,16.42,0.59
20563,16.42,0.51
20563,16.42,0.68
20563,16.42,0.78
20563,16.42,0.8
20563,16.42,0.54
20563,16.42,0.58
20563,16.42,0.2
20563,16.42,0.9
20563,16.42,0.3
20563,16.42,0.45
20563,16.42,0.7
20563,16.42,0.76
20563,16.42,0.52
20563,16.42,0.8
20563,16.42,0.82
20563,16.42,0.03
20563,16.42,1.59
20563,16.42,1.09
20563,16.42,0.94
20563,16.42,1.63
20563,16.42,1.34
20563,16.42,1.57
20563,16.42,1.68
20563,16.42,1.58
20563,16.42,1.58
20563,16.42,2.5
20563,16.42,2.61
20563,16.42,2.32
20563,16.42,2.47
20563,16.42,2.77
20563,16.42,3.96
20563,16.42,3.65
20563,16.42,3.52
20563,16.42,3.11
20563,16.42,2.73
20563,16.42,2.68
20563,16.42,2.53
20563,16.42,4.53
20563,16.42,3.54
20563,16.42,3.13
20563,16.42,3.15
20563,16.42,2.72
20563,16.42,2.56
20563,16.42,2.34
20563,16.42,2.67
20563,16.42,2.38
20563,16.42,2.55
20563,16.42,2.44
20563,16.42,2.72
20563,16.42,2.9
20563,16.42,3.38
20563,16.42,2.21
20563,16.42,3.28
20563,16.42,2.76
20563,16.42,2.24
20563,16.42,1.96
20563,16.42,1.32
20563,16.42,1.41
20563,16.42,1.55
20563,16.42,2.3
