UNID,CobbleID,ArtID,FlakeClass,Length,Width,Thickness,SurfaceArea,Cortex,Cortex25,CSA,CSA25,Weight,Volume
601,6,1,flake,26,15,3,390,0.1,0.25,39,97.5,1,0.395256917
602,6,2,flake,19,11,4,209,1,1,209,209,0.791692,0.312921739
603,6,3,flake,15,9,3,135,0,0,0,0,0.383535,0.151594862
604,6,4,flake,24,11,2,264,0.1,0.25,26.4,66,0.500016,0.197634783
605,6,5,flake,17,11,3,187,0,0,0,0,0.531267,0.209986957
606,6,6,flake,15,8,2,120,0,0,0,0,0.22728,0.089833992
607,6,7,flake,16,11,3,176,0,0,0,0,0.500016,0.197634783
608,6,8,flake,13,9,1,117,0.5,0.75,58.5,87.75,0.110799,0.043794071
609,6,9,flake,65,35,10,2275,0.4,0.25,910,568.75,21,8.300395257
610,6,10,flake,47,26,10,1222,1,1,1222,1222,15,5.928853755
611,6,11,flake,34,13,11,442,0.75,0.75,331.5,331.5,3,1.185770751
612,6,12,flake,39,22,4,858,1,1,858,858,3,1.185770751
613,6,13,flake,29,26,4,754,1,1,754,754,2,0.790513834
614,6,14,flake,44,13,5,572,0.4,0.25,228.8,143,2,0.790513834
615,6,15,flake,27,16,4,432,0.4,0.25,172.8,108,1,0.395256917
616,6,16,flake,32,21,6,672,0.75,0.75,504,504,3,1.185770751
617,6,17,flake,31,22,5,682,0.1,0.25,68.2,170.5,2,0.790513834
618,6,18,flake,20,10,3,200,0.1,0.25,20,50,0.5682,0.22458498
619,6,19,flake,19,13,5,247,1,1,247,247,1.169545,0.462270751
620,6,20,flake,18,13,6,234,0,0,0,0,1.329588,0.525528854
621,6,21,flake,19,12,3,228,0,0,0,0,0.647748,0.256026877
622,6,22,flake,13,10,3,130,0,0,0,0,0.36933,0.145980237
623,6,23,core,55,55,13,3025,0.1,0.25,302.5,756.25,35,13.83399209
624,6,24,flake,17,15,4,255,0.15,0.25,38.25,63.75,0.96594,0.381794466
625,6,25,flake,18,15,3,270,0.1,0.25,27,67.5,0.76707,0.303189723
626,6,26,flake,17,11,3,187,0,0,0,0,0.531267,0.209986957
627,6,27,flake,26,18,5,468,0.1,0.25,46.8,117,1,0.395256917
628,6,28,flake,26,21,3,546,1,1,546,546,1,0.395256917
629,6,29,flake,23,17,3,391,0,0,0,0,1.110831,0.439063636
630,6,30,flake,16,9,3,144,0.4,0.25,57.6,36,0.409104,0.161701186
631,6,31,flake,19,12,4,228,0.2,0.25,45.6,57,0.863664,0.34136917
632,6,32,core,57,46,14,2622,0.1,0.25,262.2,655.5,36,14.22924901
633,6,33,flake,23,17,5,391,0.1,0.25,39.1,97.75,1.851385,0.731772727
634,6,34,flake,11,8,2,88,0,0,0,0,0.166672,0.065878261
635,6,35,flake,23,10,3,230,0,0,0,0,0.65343,0.258272727
701,7,1,flake,12,9,3,108,0,0,0,0,0.306828,0.121275889
702,7,2,flake,25,11,4,275,0.2,0.25,55,68.75,1,0.395256917
703,7,3,ang,16,17,8,272,1,1,272,272,2,0.790513834
704,7,4,flake,15,9,6,135,0.75,0.75,101.25,101.25,0.76707,0.303189723
705,7,5,flake,14,9,2,126,1,1,126,126,0.238644,0.094325692
706,7,6,flake,15,8,5,120,0.5,0.75,60,90,0.5682,0.22458498
707,7,7,flake,15,12,3,180,0,0,0,0,0.51138,0.202126482
708,7,8,flake,42,19,10,798,1,1,798,798,7,2.766798419
709,7,9,flake,17,13,7,221,0.25,0.25,55.25,55.25,1.465009,0.579054941
710,7,10,flake,18,9,3,162,0,0,0,0,0.460242,0.181913834
711,7,11,flake,14,8,5,112,1,1,112,112,0.53032,0.209612648
712,7,12,flake,30,20,11,600,1,1,600,600,4,1.581027668
713,7,13,flake,34,14,10,476,0.75,0.75,357,357,5,1.976284585
714,7,14,flake,22,16,10,352,0.25,0.25,88,88,2,0.790513834
715,7,15,flake,25,17,13,425,1,1,425,425,4,1.581027668
716,7,16,flake,27,16,8,432,0.1,0.25,43.2,108,4,1.581027668
717,7,17,flake,13,10,2,130,0,0,0,0,0.24622,0.097320158
718,7,18,flake,12,9,4,108,0,0,0,0,0.409104,0.161701186
719,7,19,ang,17,13,10,221,0.5,0.75,110.5,165.75,1,0.395256917
720,7,20,ang,18,13,9,234,0.25,0.25,58.5,58.5,1,0.395256917
721,7,21,flake,22,15,11,330,0.75,0.75,247.5,247.5,3,1.185770751
801,8,1,flake,25,16,5,400,1,1,400,400,2,0.790513834
802,8,2,flake,22,13,5,286,0.5,0.75,143,214.5,1,0.395256917
803,8,3,flake,12,8,4,96,0.2,0.25,19.2,24,0.363648,0.143734387
804,8,4,flake,14,9,3,126,0.75,0.75,94.5,94.5,0.357966,0.141488538
805,8,5,flake,11,10,4,110,0,0,0,0,0.41668,0.164695652
806,8,6,core,21,18,20,378,0.3,0.25,113.4,94.5,7,2.766798419
807,8,7,ang,14,8,8,112,0,0,0,0,1,0.395256917
808,8,8,core,22,22,14,484,0,0,0,0,6,2.371541502
809,8,9,flake,16,9,5,144,0.2,0.25,28.8,36,0.68184,0.269501976
810,8,10,flake,34,20,8,680,0.1,0.25,68,170,4,1.581027668
811,8,11,ang,14,11,8,154,0.3,0.25,46.2,38.5,1,0.395256917
812,8,12,flake,25,12,7,300,0.2,0.25,60,75,1,0.395256917
813,8,13,flake,18,10,3,180,0.6,0.75,108,135,0.51138,0.202126482
814,8,14,flake,18,10,5,180,1,1,180,180,0.8523,0.33687747
815,8,15,flake,18,8,4,144,0,0,0,0,0.545472,0.215601581
816,8,16,flake,20,14,6,280,0,0,0,0,1.59096,0.628837945
817,8,17,flake,19,14,3,266,0.2,0.25,53.2,66.5,0.755706,0.298698024
818,8,18,flake,14,14,3,196,0.9,0.75,176.4,147,0.556836,0.220093281
819,8,19,flake,15,10,4,150,0,0,0,0,0.5682,0.22458498
820,8,20,ang,17,15,7,255,0.1,0.25,25.5,63.75,1,0.395256917
821,8,21,ang,24,12,13,288,0,0,0,0,2,0.790513834
822,8,22,flake,10,8,4,80,1,1,80,80,0.30304,0.119778656
823,8,23,flake,14,7,5,98,1,1,98,98,0.46403,0.183411067
824,8,24,ang,13,8,6,104,1,1,104,104,0.590928,0.233568379
825,8,25,flake,16,10,4,160,1,1,160,160,0.60608,0.239557312
826,8,26,ang,17,8,10,136,1,1,136,136,1.28792,0.509059289
827,8,27,flake,15,10,5,150,0.75,0.75,112.5,112.5,0.71025,0.280731225
828,8,28,ang,17,13,8,221,0.1,0.25,22.1,55.25,1,0.395256917
829,8,29,core,23,21,17,483,0,0,0,0,8,3.162055336
830,8,30,ang,9,9,4,81,0.2,0.2,16.2,16.2,0.306828,0.121275889
831,8,31,core,41,26,24,1066,0.1,0.25,106.6,266.5,33,13.04347826
832,8,32,flake,47,37,13,1739,1,1,1739,1739,27,10.67193676
833,8,33,flake,47,15,14,705,1,1,705,705,8,3.162055336
834,8,34,flake,22,18,3,396,1,1,396,396,1.125036,0.444678261
835,8,35,flake,14,13,3,182,1,1,182,182,0.517062,0.204372332
836,8,36,flake,11,9,1,99,1,1,99,99,0.093753,0.037056522
837,8,37,flake,33,20,7,660,0.3,0.25,198,165,4,1.581027668
838,8,38,flake,16,10,4,160,0.8,0.75,128,120,0.60608,0.239557312
839,8,39,flake,19,10,5,190,0.5,0.75,95,142.5,0.89965,0.355592885
840,8,40,flake,19,12,3,228,0,0,0,0,0.647748,0.256026877
841,8,41,flake,18,7,4,126,0,0,0,0,0.477288,0.188651383
842,8,42,flake,19,13,7,247,0.05,0.25,12.35,61.75,1,0.395256917
