READ_ID,UNID,ART_ID,COBBLE_ID,Y,S
1221001,1221,21,12,8.785,1.71
1221002,1221,21,12,8.785,1.49
1221003,1221,21,12,8.785,2.56
1221004,1221,21,12,8.785,1.48
1221005,1221,21,12,8.785,1.24
1221006,1221,21,12,8.785,2.55
1221007,1221,21,12,8.785,0.3
1221008,1221,21,12,8.785,0.15
1221009,1221,21,12,8.785,0.32
1238001,1238,38,12,8.785,1.88
1238002,1238,38,12,8.785,3.62
1236001,1236,36,12,8.785,0.72
1236002,1236,36,12,8.785,1.74
1236003,1236,36,12,8.785,3.31
1236004,1236,36,12,8.785,4.28
1237001,1237,37,12,8.785,1.58
1237002,1237,37,12,8.785,2.36
1237003,1237,37,12,8.785,1.44
1237004,1237,37,12,8.785,2.17
1237005,1237,37,12,8.785,2.29
1237006,1237,37,12,8.785,2.2
1206001,1206,6,12,8.785,1.97
1235001,1235,35,12,8.785,2.69
1235002,1235,35,12,8.785,0.9
1235003,1235,35,12,8.785,0.83
1235004,1235,35,12,8.785,1.52
1235005,1235,35,12,8.785,1.28
1235006,1235,35,12,8.785,0.69
1235007,1235,35,12,8.785,2.46
1243001,1243,43,12,8.785,0.99
1220001,1220,20,12,8.785,0.001
1220002,1220,20,12,8.785,2.71
1204001,1204,4,12,8.785,2.49
1204002,1204,4,12,8.785,1.84
1204003,1204,4,12,8.785,1.94
1204004,1204,4,12,8.785,1.91
1204005,1204,4,12,8.785,2.04
1204006,1204,4,12,8.785,2.52
1216001,1216,16,12,8.785,1.02
1213001,1213,13,12,8.785,1.76
1213002,1213,13,12,8.785,2.48
1213003,1213,13,12,8.785,2.67
1213004,1213,13,12,8.785,2.25
1213005,1213,13,12,8.785,1.92
1213006,1213,13,12,8.785,2.35
1213007,1213,13,12,8.785,3.4
1213008,1213,13,12,8.785,2.15
1213009,1213,13,12,8.785,5.16
1213010,1213,13,12,8.785,5.16
1226001,1226,26,12,8.785,1.33
1226002,1226,26,12,8.785,1.34
1227001,1227,27,12,8.785,2.06
1210001,1210,10,12,8.785,1.52
1210002,1210,10,12,8.785,1.42
1207001,1207,7,12,8.785,2.08
1201001,1201,1,12,8.785,1.25
1201002,1201,1,12,8.785,1.34
1201003,1201,1,12,8.785,1.51
1201004,1201,1,12,8.785,2.29
1201005,1201,1,12,8.785,1.6
1201006,1201,1,12,8.785,2.1
1201007,1201,1,12,8.785,3.32
1201008,1201,1,12,8.785,4.06
1208001,1208,8,12,8.785,3.31
1208002,1208,8,12,8.785,1.19
1208003,1208,8,12,8.785,1.96
1208004,1208,8,12,8.785,2.76
1208005,1208,8,12,8.785,1
1222001,1222,22,12,8.785,2.05
1222002,1222,22,12,8.785,3.09
1230001,1230,30,12,8.785,3.11
1230002,1230,30,12,8.785,2.44
1229001,1229,29,12,8.785,0.88
1229002,1229,29,12,8.785,0.84
1205001,1205,5,12,8.785,2.25
1205002,1205,5,12,8.785,2.31
1225001,1225,25,12,8.785,1.27
1240001,1240,40,12,8.785,2.19
1240002,1240,40,12,8.785,2.54
1214001,1214,14,12,8.785,1.5
1245001,1245,45,12,8.785,0.87
708001,708,8,7,8.785,1.87
708002,708,8,7,8.785,2.09
708003,708,8,7,8.785,1.27
708004,708,8,7,8.785,3.47
708005,708,8,7,8.785,2.68
708006,708,8,7,8.785,0.62
708007,708,8,7,8.785,1.61
708008,708,8,7,8.785,1.22
708009,708,8,7,8.785,1.22
708010,708,8,7,8.785,1.29
708011,708,8,7,8.785,2.86
708012,708,8,7,8.785,2.72
708013,708,8,7,8.785,1.57
708014,708,8,7,8.785,2.68
708015,708,8,7,8.785,3.49
713001,713,13,7,8.785,2.58
713002,713,13,7,8.785,2.98
713003,713,13,7,8.785,1.18
713004,713,13,7,8.785,0.63
713005,713,13,7,8.785,1.2
713006,713,13,7,8.785,2.35
713007,713,13,7,8.785,4.47
713008,713,13,7,8.785,1.46
712001,712,12,7,8.785,1.43
712002,712,12,7,8.785,2.44
712003,712,12,7,8.785,0.88
712004,712,12,7,8.785,2.04
712005,712,12,7,8.785,2.5
712006,712,12,7,8.785,2.22
712007,712,12,7,8.785,1.36
703001,703,3,7,8.785,5.16
703002,703,3,7,8.785,4.88
715001,715,15,7,8.785,1.86
715002,715,15,7,8.785,2.49
715003,715,15,7,8.785,2.79
715004,715,15,7,8.785,1.69
715005,715,15,7,8.785,3.73
715006,715,15,7,8.785,4.37
721001,721,21,7,8.785,1.17
721002,721,21,7,8.785,2.27
721003,721,21,7,8.785,1.51
721004,721,21,7,8.785,1.64
1039001,1039,39,10,8.785,0.01
1039002,1039,39,10,8.785,0.21
1039003,1039,39,10,8.785,0.64
1039004,1039,39,10,8.785,0.1
1039005,1039,39,10,8.785,0.27
1039006,1039,39,10,8.785,0.22
1039007,1039,39,10,8.785,0.85
1039008,1039,39,10,8.785,1.06
1039009,1039,39,10,8.785,0.84
1039010,1039,39,10,8.785,1.18
1039011,1039,39,10,8.785,2.03
1039012,1039,39,10,8.785,2
1031001,1031,31,10,8.785,0.98
1031002,1031,31,10,8.785,1
1031003,1031,31,10,8.785,0.71
1031004,1031,31,10,8.785,0.42
1031005,1031,31,10,8.785,0.23
1031006,1031,31,10,8.785,0.32
1031007,1031,31,10,8.785,0.8
1031008,1031,31,10,8.785,0.2
1031009,1031,31,10,8.785,0.21
1031010,1031,31,10,8.785,1.5
1031011,1031,31,10,8.785,1.02
1031012,1031,31,10,8.785,1.09
1009001,1009,9,10,8.785,2.36
1009002,1009,9,10,8.785,1.25
1009003,1009,9,10,8.785,2.05
1009004,1009,9,10,8.785,1.49
1009005,1009,9,10,8.785,0.77
1036001,1036,36,10,8.785,0.75
1036002,1036,36,10,8.785,1.02
1036003,1036,36,10,8.785,0.96
1036004,1036,36,10,8.785,0.55
1036005,1036,36,10,8.785,0.47
1036006,1036,36,10,8.785,1.54
1023001,1023,23,10,8.785,1.13
1023002,1023,23,10,8.785,1.19
1023003,1023,23,10,8.785,2.93
1023004,1023,23,10,8.785,3.66
1023005,1023,23,10,8.785,4.08
1032001,1032,32,10,8.785,0.7
1032002,1032,32,10,8.785,0.36
1032003,1032,32,10,8.785,0.43
1032004,1032,32,10,8.785,0.68
1032005,1032,32,10,8.785,0.48
1032006,1032,32,10,8.785,0.18
1041001,1041,41,10,8.785,2.6
1041002,1041,41,10,8.785,1.6
1010001,1010,10,10,8.785,0.75
1011001,1011,11,10,8.785,1.09
1011002,1011,11,10,8.785,5.02
1011003,1011,11,10,8.785,1.47
1004001,1004,4,10,8.785,1.37
1033001,1033,33,10,8.785,0.48
1033002,1033,33,10,8.785,0.55
1033003,1033,33,10,8.785,0.49
1034001,1034,34,10,8.785,0.07
1034002,1034,34,10,8.785,1.63
1035001,1035,35,10,8.785,1.29
1011001,1011,11,10,8.785,0.26
632001,632,32,6,8.785,0.06
623001,623,23,6,8.785,0.19
623002,623,23,6,8.785,0.92
623003,623,23,6,8.785,0.42
623004,623,23,6,8.785,0.16
623005,623,23,6,8.785,1.37
609001,609,9,6,8.785,0.71
609002,609,9,6,8.785,1.31
609003,609,9,6,8.785,0.96
609004,609,9,6,8.785,0.49
609005,609,9,6,8.785,0.01
609006,609,9,6,8.785,1.53
609007,609,9,6,8.785,0.17
609008,609,9,6,8.785,0.01
609009,609,9,6,8.785,0.23
609010,609,9,6,8.785,1.07
609011,609,9,6,8.785,1.06
609012,609,9,6,8.785,2.03
609013,609,9,6,8.785,3.28
609014,609,9,6,8.785,2.53
609015,609,9,6,8.785,1.61
609016,609,9,6,8.785,1.09
609017,609,9,6,8.785,1.29
609018,609,9,6,8.785,1.16
609019,609,9,6,8.785,1.19
609020,609,9,6,8.785,1.2
609021,609,9,6,8.785,1.37
609022,609,9,6,8.785,1.6
609023,609,9,6,8.785,0.56
609024,609,9,6,8.785,0.52
609025,609,9,6,8.785,0.85
609026,609,9,6,8.785,0.01
609027,609,9,6,8.785,0.79
609028,609,9,6,8.785,1.09
609029,609,9,6,8.785,2.12
609030,609,9,6,8.785,2.78
609031,609,9,6,8.785,3.75
609032,609,9,6,8.785,4.41
609033,609,9,6,8.785,0.52
609034,609,9,6,8.785,5.17
609035,609,9,6,8.785,1.75
609036,609,9,6,8.785,3.93
609037,609,9,6,8.785,1.17
609038,609,9,6,8.785,3.53
609039,609,9,6,8.785,0.81
609040,609,9,6,8.785,3.01
609041,609,9,6,8.785,3.29
614001,614,14,6,8.785,1.37
614002,614,14,6,8.785,0.58
614003,614,14,6,8.785,0.23
614004,614,14,6,8.785,1.56
612001,612,12,6,8.785,1.74
612002,612,12,6,8.785,0.52
612003,612,12,6,8.785,0.01
612004,612,12,6,8.785,0.01
612005,612,12,6,8.785,0.57
612006,612,12,6,8.785,1.54
612007,612,12,6,8.785,1.53
612008,612,12,6,8.785,0.37
612009,612,12,6,8.785,0.01
612010,612,12,6,8.785,1.35
612011,612,12,6,8.785,1.65
612012,612,12,6,8.785,1.85
612013,612,12,6,8.785,1.66
612014,612,12,6,8.785,1.61
612015,612,12,6,8.785,1.49
612016,612,12,6,8.785,1.28
611001,611,11,6,8.785,0.05
611002,611,11,6,8.785,1.04
611003,611,11,6,8.785,3.36
611004,611,11,6,8.785,2.88
611005,611,11,6,8.785,1.79
611006,611,11,6,8.785,2.17
611007,611,11,6,8.785,1.14
611008,611,11,6,8.785,0.19
611009,611,11,6,8.785,0.29
611010,611,11,6,8.785,0.67
611011,611,11,6,8.785,1.51
611012,611,11,6,8.785,2.32
611013,611,11,6,8.785,2.54
613001,613,13,6,8.785,0.19
613002,613,13,6,8.785,1
613003,613,13,6,8.785,2.02
613004,613,13,6,8.785,1.28
613005,613,13,6,8.785,0.01
613006,613,13,6,8.785,2.01
613007,613,13,6,8.785,0.01
613008,613,13,6,8.785,1.78
613009,613,13,6,8.785,1.56
613010,613,13,6,8.785,1.74
613011,613,13,6,8.785,1.14
613012,613,13,6,8.785,1.08
613013,613,13,6,8.785,0.19
615001,615,15,6,8.785,1.5
615002,615,15,6,8.785,1.6
628001,628,28,6,8.785,1.01
628002,628,28,6,8.785,0.91
628003,628,28,6,8.785,0.96
628004,628,28,6,8.785,1.19
628005,628,28,6,8.785,1.02
624001,624,24,6,8.785,3.14
601001,601,1,6,8.785,2.39
602001,602,2,6,8.785,1.36
619001,619,19,6,8.785,2.2
619002,619,19,6,8.785,1.18
1316001,1316,16,13,8.785,0.98
1316002,1316,16,13,8.785,0.93
1316003,1316,16,13,8.785,0.58
1316004,1316,16,13,8.785,0.51
1316005,1316,16,13,8.785,0.16
1316006,1316,16,13,8.785,0.04
1327001,1327,27,13,8.785,2.23
1327002,1327,27,13,8.785,1.55
1327003,1327,27,13,8.785,0.01
1327004,1327,27,13,8.785,0.01
1327005,1327,27,13,8.785,0.09
1327006,1327,27,13,8.785,0.55
1327007,1327,27,13,8.785,1.63
1327008,1327,27,13,8.785,1.29
1327009,1327,27,13,8.785,0.57
1327010,1327,27,13,8.785,0.23
1327011,1327,27,13,8.785,0.06
1327012,1327,27,13,8.785,0.07
1327013,1327,27,13,8.785,0.15
1327014,1327,27,13,8.785,1.17
1327015,1327,27,13,8.785,0.79
1327016,1327,27,13,8.785,0.28
1327017,1327,27,13,8.785,0.12
1327018,1327,27,13,8.785,0.12
1327019,1327,27,13,8.785,0.14
1327020,1327,27,13,8.785,0.09
1327021,1327,27,13,8.785,0.63
1327022,1327,27,13,8.785,0.07
1327023,1327,27,13,8.785,1.86
1327024,1327,27,13,8.785,2.53
1327025,1327,27,13,8.785,0.57
1327026,1327,27,13,8.785,2.92
1327027,1327,27,13,8.785,1.13
1327028,1327,27,13,8.785,2.79
1327029,1327,27,13,8.785,1.76
1327030,1327,27,13,8.785,0.23
1327031,1327,27,13,8.785,0.85
1327032,1327,27,13,8.785,2.82
1327033,1327,27,13,8.785,2.82
1327034,1327,27,13,8.785,0.83
1327035,1327,27,13,8.785,0.24
1327036,1327,27,13,8.785,2.81
1327037,1327,27,13,8.785,0.33
1327038,1327,27,13,8.785,2.33
1327039,1327,27,13,8.785,0.37
1325001,1325,25,13,8.785,0.06
1325002,1325,25,13,8.785,0.27
1325003,1325,25,13,8.785,0.28
1329001,1329,29,13,8.785,2.24
1329002,1329,29,13,8.785,1.35
1329003,1329,29,13,8.785,1.02
1329004,1329,29,13,8.785,2.3
1329005,1329,29,13,8.785,1.57
1329006,1329,29,13,8.785,1.1
1329007,1329,29,13,8.785,1.13
1329008,1329,29,13,8.785,1.67
1329009,1329,29,13,8.785,1.77
1329010,1329,29,13,8.785,1.68
1329011,1329,29,13,8.785,1.65
1308001,1308,8,13,8.785,1.58
1308002,1308,8,13,8.785,2.28
1308003,1308,8,13,8.785,1.24
1308004,1308,8,13,8.785,2.12
1308005,1308,8,13,8.785,1.67
1308006,1308,8,13,8.785,1.96
1308007,1308,8,13,8.785,2.15
1308008,1308,8,13,8.785,2.23
1308009,1308,8,13,8.785,2.26
1330001,1330,30,13,8.785,0.53
1330002,1330,30,13,8.785,1.42
1330003,1330,30,13,8.785,0.53
1330004,1330,30,13,8.785,1.08
1330005,1330,30,13,8.785,2.39
1330006,1330,30,13,8.785,2.17
1330007,1330,30,13,8.785,1.96
1330008,1330,30,13,8.785,0.77
1328001,1328,28,13,8.785,2.38
1328002,1328,28,13,8.785,0.35
1328003,1328,28,13,8.785,2.41
1328004,1328,28,13,8.785,0.5
1328005,1328,28,13,8.785,2.75
1328006,1328,28,13,8.785,0.54
1328007,1328,28,13,8.785,2.4
1328008,1328,28,13,8.785,0.48
1328009,1328,28,13,8.785,2.84
1328010,1328,28,13,8.785,0.65
1328011,1328,28,13,8.785,2.48
1328012,1328,28,13,8.785,0.85
1328013,1328,28,13,8.785,1.72
1328014,1328,28,13,8.785,1.69
1328015,1328,28,13,8.785,2.42
1328016,1328,28,13,8.785,0.93
1328017,1328,28,13,8.785,2.48
1328018,1328,28,13,8.785,1.1
1328019,1328,28,13,8.785,3.13
1328020,1328,28,13,8.785,1.52
1328021,1328,28,13,8.785,3.11
1328022,1328,28,13,8.785,1.45
1326001,1326,26,13,8.785,0.79
1326002,1326,26,13,8.785,0.43
1326003,1326,26,13,8.785,0.34
1326004,1326,26,13,8.785,0.67
1326005,1326,26,13,8.785,0.64
1307001,1307,7,13,8.785,2.19
1307002,1307,7,13,8.785,2.26
1307003,1307,7,13,8.785,2.57
1307004,1307,7,13,8.785,1.86
1307005,1307,7,13,8.785,2.3
